Location,Rooms_numeric,Price_numeric
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
"                        London, Greater London                    ",3.0,6000
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",2.0,1400
"                        London, Greater London                    ",1.0,2817
"                        London, Greater London                    ",2.0,1525
"                        London, Greater London                    ",3.0,346
"                        London, Greater London                    ",2.0,2058
"                        London, Greater London                    ",1.0,2000
"                        London, Greater London                    ",1.0,2249
"                        London, Greater London                    ",2.0,1733
"                        London, Greater London                    ",2.0,2500
"                        London, Greater London                    ",1.0,1235
"                        London, Greater London                    ",2.0,2578
"                        London, Greater London                    ",1.0,1625
"                        London, Greater London                    ",4.0,3389
"                        London, Greater London                    ",3.0,3497
"                        London, Greater London                    ",2.0,10833
"                        London, Greater London                    ",3.0,1800
"                        London, Greater London                    ",1.0,2167
"                        London, Greater London                    ",2.0,3750
"                        London, Greater London                    ",2.0,2167
"                        London, Greater London                    ",4.0,540
"                        London, Greater London                    ",2.0,3597
"                        London, Greater London                    ",2.0,5200
"                        London, Greater London                    ",1.0,1408
"                        London, Greater London                    ",3.0,2383
"                        London, Greater London                    ",2.0,3250
"                        London, Greater London                    ",1.0,1100
"                        London, Greater London                    ",1.0,1100
"                        Liverpool, Merseyside                    ",6.0,1904
"                        Birmingham, West Midlands                    ",1.0,1000
"                        Birmingham, West Midlands                    ",1.0,625
"                        Birmingham, West Midlands                    ",1.0,625
